CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
4,1958400,16595.857674,8.474192031249999,459.26762568306657,6.924063367462479,36.1059665015197,15.076314942
4,2054400,17430.105278,8.484280217095014,477.0507795367857,6.8485277948514325,36.50419586351746,14.355972338
4,2150400,18250.839539,8.487183565383184,523.610015021846,7.178812833549299,34.82469954247251,13.710228276
4,2246400,19063.596157,8.486287463051994,540.6921060578461,7.097761809767885,35.222371037578625,13.127178537
4,2342400,19861.762136,8.479235884562842,621.2433372655832,7.827107703990765,31.94027851086473,12.599101245
4,2419200,20511.978996,8.478827296626985,670.5878006334999,8.181124642347092,30.55814584537087,12.19993062
7,844800,7169.897901,8.487095053267046,149.43980263335288,5.212460562875343,47.96199356990297,34.880001653
7,960000,8142.261595,8.481522494791667,171.61888888926666,5.271505936335277,47.4247782359131,30.716350458
7,1075200,9121.757215,8.483777171688988,193.4577707248888,5.304458000412522,47.13016862053725,27.419203584
7,1190400,10100.601996,8.485048719758064,217.05221864154163,5.374799209839508,46.51336547462673,24.762701084
7,1305600,11058.521697,8.470068701746325,239.00681950036352,5.406203784709498,46.24316987588986,22.619454106
7,1401600,11878.741804,8.47512971175799,260.6182461248499,5.488349231880572,45.55103719490131,21.058960044
7,1516800,12869.350355,8.484540054720465,294.7328333060525,5.729321338250542,43.635185607574584,19.439033222
7,1632000,13845.813026,8.483954060049019,313.5194234697778,5.664996193258566,44.13065630962011,18.069043795
7,1747200,14829.754419,8.487725743475275,366.2511986472499,6.178629048471517,40.46205040612457,16.869921713
7,1862400,15813.776962,8.491074399699313,403.1523991833999,6.378793079919904,39.19236709323374,15.822287286
7,1977600,16767.270288,8.47859541262136,442.4957144762141,6.603074539460052,37.861150666405024,14.922346869
7,2073600,17588.293232,8.482008695987655,481.0443972190713,6.843783385416033,36.52950216582615,14.226926714
7,2169600,18417.562988,8.488920993731565,600.739535256846,8.16178877853344,30.630540287630616,13.586235464
7,2265600,19233.728266,8.48946339424435,628.1550976914165,8.17252133613743,30.59031475323835,13.010355828
7,2361600,20006.402049,8.47154558307927,654.2800704906665,8.183527657338265,30.54917273675028,12.507682912
7,2457600,20845.493204,8.48205289876302,678.3481246145454,8.143276730929587,30.700172456433457,12.004568798
7,2553600,21656.271656,8.480682822681706,729.7839044610907,8.434332960351377,29.640755371552814,11.557301975
7,2649600,22453.745285,8.474390581597223,794.8258158759999,8.859728054637559,28.217570387969115,11.146754267
7,2745600,23294.819232,8.484418426573427,861.6972480420999,9.257606995296708,27.00481886161419,10.74345661
7,2841600,24094.063223,8.479048149985925,833.7838184284999,8.661075712969959,28.864774802236752,10.387675464
